"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0
NL,Fr,38,Export,"€151,29","€216,32","€253,62","€320,93","€343,92","€377,45","€447,56","€474,85","€568,56","€617,08","€665,58","€767,98","€870,38","€892,29","€975,42","€1.064,25","€1.147,86","€1.237,59","€1.283,11"
NL,Fr,39,Export,"€148,85","€203,92","€239,07","€293,31","€316,69","€348,51","€384,98","€409,74","€472,88","€541,43","€609,95","€680,63","€751,33","€765,78","€841,55","€915,50","€984,24","€1.066,54","€1.104,63"
NL,Fr,40,Export,"€161,59","€235,50","€276,12","€384,07","€441,74","€481,37","€538,25","€569,20","€640,33","€714,25","€788,20","€933,47","€1.078,73","€1.100,64","€1.205,98","€1.317,11","€1.423,03","€1.535,07","€1.595,47"
NL,Fr,41,Export,"€129,64","€180,71","€211,84","€303,10","€337,41","€370,52","€404,00","€429,53","€476,83","€509,50","€542,15","€576,05","€609,95","€624,41","€685,38","€701,92","€747,17","€797,30","€822,98"
NL,Fr,42,Export,"€140,84","€201,25","€235,95","€320,93","€343,92","€377,45","€447,56","€474,85","€568,56","€617,08","€665,58","€745,66","€825,74","€847,65","€923,36","€1.012,19","€1.088,36","€1.170,66","€1.216,18"
NL,Fr,43,Export,"€150,89","€203,99","€239,16","€355,13","€392,21","€428,75","€478,23","€506,75","€595,14","€653,75","€712,35","€802,53","€892,71","€914,60","€1.005,18","€1.094,00","€1.185,05","€1.274,78","€1.327,74"
NL,Fr,44,Export,"€141,54","€198,52","€232,74","€293,31","€322,88","€355,09","€406,70","€432,33","€515,41","€563,32","€611,22","€648,80","€686,36","€709,74","€765,17","€845,98","€901,79","€963,73","€1.003,09"
NL,Fr,45,Export,"€127,57","€176,60","€207,02","€288,49","€309,89","€341,28","€374,32","€398,64","€445,95","€481,92","€517,90","€549,04","€580,18","€602,09","€655,63","€714,71","€768,57","€828,55","€859,21"
NL,Fr,46,Export,"€152,92","€231,39","€271,30","€431,44","€455,36","€495,84","€547,18","€578,51","€656,27","€713,38","€770,50","€872,53","€974,56","€996,47","€1.086,98","€1.190,68","€1.281,73","€1.386,33","€1.439,29"
NL,Fr,47,Export,"€149,00","€216,32","€253,62","€374,81","€455,36","€495,84","€547,18","€578,51","€656,27","€713,38","€770,50","€917,18","€1.063,86","€1.085,76","€1.183,66","€1.294,80","€1.400,72","€1.512,76","€1.573,16"
NL,Fr,48,Export,"€152,92","€219,06","€256,84","€443,27","€490,03","€532,68","€567,63","€599,77","€682,85","€770,29","€857,72","€931,03","€1.004,33","€1.026,23","€1.124,17","€1.227,87","€1.326,35","€1.430,96","€1.483,91"
NL,Fr,49,Export,"€135,14","€190,29","€223,10","€293,31","€322,88","€355,09","€406,70","€432,33","€515,41","€563,32","€611,22","€714,75","€818,30","€832,76","€908,49","€997,32","€1.073,49","€1.155,78","€1.201,31"
NL,Fr,50,Export,"€136,42","€193,03","€226,30","€312,40","€341,17","€374,51","€433,68","€460,39","€517,10","€558,37","€599,62","€697,80","€795,97","€817,88","€893,61","€975,01","€1.051,19","€1.133,47","€1.179,00"
NL,Fr,51,Export,"€136,78","€193,03","€219,98","€260,58","€278,63","€308,07","€342,06","€365,09","€420,45","€441,08","€461,70","€487,46","€513,21","€527,68","€573,82","€625,47","€671,89","€724,43","€755,09"
NL,Fr,52,Export,"€146,40","€205,36","€238,17","€277,85","€292,39","€322,69","€354,98","€378,51","€428,51","€451,49","€474,47","€523,61","€572,74","€587,20","€640,76","€699,83","€753,70","€806,25","€836,89"
NL,Fr,53,Export,"€142,82","€191,76","€224,81","€277,85","€314,90","€346,61","€402,71","€428,17","€484,88","€526,29","€567,69","€674,39","€781,09","€795,55","€871,31","€952,69","€1.021,43","€1.103,72","€1.149,25"
NL,Fr,54,Export,"€140,04","€198,54","€232,76","€280,51","€337,41","€370,52","€404,00","€429,53","€476,83","€510,76","€544,71","€564,06","€583,42","€602,76","€621,78","€641,13","€660,46","€679,81","€703,03"
NL,Fr,55,Export,"€146,40","€205,36","€240,77","€309,75","€352,42","€386,47","€429,81","€456,37","€513,08","€556,35","€599,62","€612,19","€624,76","€637,34","€649,56","€662,12","€674,68","€687,25","€710,46"
NL,Fr,56,Export,"€141,37","€202,63","€237,56","€293,31","€341,45","€374,82","€455,23","€482,84","€559,26","€614,95","€670,62","€818,88","€967,12","€989,03","€1.086,98","€1.183,25","€1.281,73","€1.378,90","€1.439,29"
NL,Fr,57,Export,"€146,43","€208,10","€243,98","€309,75","€337,41","€370,52","€404,00","€429,53","€476,83","€510,76","€544,71","€565,13","€585,54","€605,96","€626,04","€646,43","€666,85","€687,25","€710,46"
NL,Fr,58,Export,"€132,16","€184,82","€216,66","€295,13","€323,66","€355,91","€401,42","€426,84","€487,57","€530,82","€574,08","€636,66","€699,25","€721,15","€782,06","€856,01","€924,75","€992,17","€1.037,69"
NL,Fr,59,Export,"€111,36","€138,42","€158,12","€196,87","€225,95","€247,70","€282,71","€300,03","€360,86","€384,06","€407,27","€411,78","€416,29","€420,81","€425,08","€461,85","€493,41","€531,07","€546,85"
