Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,DE,66,Import,84.61,116.32,135.35,208.33,234.77,298.22,409.83,416.11,429.93,437.49,452.57,460.11,467.65,482.73,490.28,505.37,514.17,
NL,DE,67,Import,83.55,112.11,130.07,200.92,227.37,286.60,394.73,401.03,413.59,429.93,448.79,458.85,467.65,486.51,496.57,519.19,530.51,
NL,DE,68,Import,77.20,101.52,114.21,174.49,195.63,247.46,367.08,382.17,411.09,424.91,445.03,456.33,465.13,485.25,495.31,519.19,530.51,
NL,DE,69,Import,77.20,101.52,114.21,174.49,195.63,247.46,374.63,390.97,423.65,438.73,457.59,467.65,476.45,495.31,506.63,527.99,538.05,
NL,DE,70,Import,79.31,104.69,119.51,182.95,205.15,255.92,404.79,429.93,480.23,505.37,535.53,551.88,565.71,595.88,612.22,642.39,656.22,
NL,DE,71,Import,79.31,104.69,119.51,182.95,205.15,255.92,404.79,429.93,480.23,505.37,535.53,551.88,565.71,595.88,612.22,642.39,656.22,
NL,DE,72,Import,81.43,107.86,124.78,192.46,216.79,272.83,427.43,451.31,499.08,525.48,556.91,573.25,587.08,617.25,632.33,662.51,677.59,
NL,DE,73,Import,81.43,107.86,124.78,192.46,216.79,272.83,427.43,451.31,499.08,525.48,556.91,573.25,587.08,617.25,632.33,662.51,677.59,
NL,DE,74,Import,81.43,108.92,125.83,193.52,217.84,274.95,389.71,411.09,450.05,468.91,494.05,509.13,521.71,550.62,565.71,594.62,607.19,
NL,DE,75,Import,82.48,112.11,130.07,199.87,225.26,284.46,389.71,411.09,450.05,468.91,494.05,509.13,521.71,550.62,565.71,594.62,607.19,
NL,DE,76,Import,81.43,107.86,124.78,190.35,214.66,267.53,375.88,397.25,436.23,455.09,480.23,492.79,505.37,534.28,549.37,578.28,590.85,
NL,DE,77,Import,81.43,107.86,124.78,190.35,214.66,267.53,392.23,413.59,453.83,472.68,497.83,511.65,525.48,553.13,566.97,594.62,607.19,
NL,DE,78,Import,83.55,112.11,130.07,200.92,227.37,286.60,412.33,439.99,492.79,521.71,550.62,566.97,579.53,608.45,623.53,652.45,665.02,
NL,DE,79,Import,82.48,112.11,130.07,199.87,225.26,284.46,412.33,439.99,492.79,521.71,550.62,566.97,579.53,608.45,623.53,652.45,665.02,
NL,DE,80,Import,83.55,114.21,133.25,204.10,230.54,292.92,468.91,501.59,571.99,604.68,633.59,648.68,662.51,690.16,705.25,734.16,746.74,
NL,DE,81,Import,83.55,114.21,133.25,204.10,230.54,292.92,468.91,501.59,571.99,604.68,633.59,648.68,662.51,690.16,705.25,734.16,746.74,
NL,DE,82,Import,85.66,118.43,137.47,211.51,238.99,303.51,499.08,538.05,614.73,649.93,678.85,695.19,707.76,735.42,750.50,779.42,791.99,
NL,DE,83,Import,86.72,120.56,139.59,214.66,242.18,307.74,502.85,543.08,618.51,654.96,683.88,700.22,712.79,740.45,755.54,784.45,797.02,
NL,DE,84,Import,86.72,120.56,139.59,214.66,242.18,307.74,429.93,462.63,533.03,569.48,598.39,613.48,626.05,654.96,670.05,697.71,710.28,
NL,DE,85,Import,83.55,114.21,133.25,204.10,230.54,292.92,412.33,439.99,491.53,520.45,553.13,570.73,585.82,617.25,634.85,667.54,681.36,
NL,DE,86,Import,82.48,112.11,130.07,200.92,226.30,286.60,397.25,423.65,471.43,495.31,529.25,548.11,563.19,597.13,615.99,649.93,665.02,
NL,DE,87,Import,82.48,112.11,130.07,200.92,226.30,286.60,398.51,422.39,465.13,485.25,516.68,535.53,550.62,583.31,600.91,633.59,649.93,
NL,DE,88,Import,82.48,112.11,130.07,200.92,226.30,286.60,398.51,421.13,463.88,483.99,515.43,534.28,549.37,583.31,600.91,633.59,649.93,
NL,DE,89,Import,81.43,108.92,125.83,193.52,217.84,274.95,395.99,417.37,458.85,478.97,509.13,527.99,544.33,577.02,594.62,628.57,644.91,
NL,DE,90,Import,82.48,112.11,130.07,200.92,226.30,286.60,394.73,401.03,422.39,441.25,470.17,483.99,497.83,530.51,548.11,580.79,595.88,
NL,DE,91,Import,82.48,112.11,130.07,200.92,226.30,286.60,394.73,402.29,453.83,477.71,507.88,526.73,543.08,577.02,594.62,628.57,644.91,
NL,DE,92,Import,83.55,114.21,133.25,204.10,230.54,292.92,404.79,426.17,487.77,520.45,550.62,565.71,579.53,608.45,623.53,652.45,665.02,
NL,DE,93,Import,81.43,109.99,126.90,192.46,216.79,274.95,408.57,442.51,511.65,548.11,577.02,592.11,605.93,633.59,648.68,676.34,690.16,
NL,DE,94,Import,86.72,120.56,139.59,214.66,242.18,307.74,439.99,478.97,563.19,604.68,626.05,638.62,647.42,668.79,680.11,701.48,710.28,
NL,DE,95,Import,85.66,118.43,137.47,211.51,238.99,303.51,439.99,471.43,538.05,573.25,603.42,619.77,633.59,662.51,678.85,709.02,722.85,
NL,DE,96,Import,79.31,105.75,121.62,186.12,208.33,264.38,457.59,481.48,531.77,556.91,593.37,613.48,631.08,667.54,687.65,724.10,741.70,
NL,DE,97,Import,81.43,108.92,125.83,193.52,217.84,274.95,389.71,411.09,452.57,471.43,505.37,525.48,543.08,580.79,600.91,638.62,656.22,
NL,DE,98,Import,81.43,109.99,126.90,195.63,221.02,279.19,416.11,436.23,473.93,492.79,529.25,549.37,566.97,603.42,622.28,659.99,677.59,
