Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,CH,40,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,41,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,42,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,43,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,44,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,45,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,46,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,47,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,48,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,49,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,50,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,51,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,52,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,53,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,54,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
NL,CH,55,Export,"134,99","182,52","232,41","275,34","292,65","316,90","374,47","402,74","473,90","510,05","579,54","645,67","663,93","685,04","705,24","751,99","800,70","849,14","874,62","932,40","961,39","992,21","1.019,43","1.055,56","1.115,06","1.168,51","1.196,61","1.223,83","1.254,52","1.282,36","1.315,85","1.378,66","1.405,76","1.435,65","1.462,89","1.490,10","1.508,73","1.524,50","1.551,44"
