Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-0.9,LDM-1.0,LDM-1.1,LDM-1.2,LDM-1.3,LDM-1.4,LDM-1.5,LDM-1.6,LDM-1.7,LDM-1.8,LDM-1.9,LDM-2.0,LDM-2.1,LDM-2.2,LDM-2.3,LDM-2.4,LDM-2.5,LDM-2.6,LDM-2.7,LDM-2.8,LDM-2.9,LDM-3.0,LDM-3.1,LDM-3.2,LDM-3.3,LDM-3.4,LDM-3.5,LDM-3.6,LDM-3.7,LDM-3.8,LDM-3.9,LDM-4.0,LDM-4.1,LDM-4.2,LDM-4.3,LDM-4.4,LDM-4.5,LDM-4.6,LDM-4.7,LDM-4.8,LDM-4.9,LDM-5.0,LDM-5.1,LDM-5.2,LDM-5.3,LDM-5.4,LDM-5.5,LDM-5.6,LDM-5.7,LDM-5.8,LDM-5.9,LDM-6.0
NL,NO,33,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,34,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,35,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,36,Export,€282,€302,€308,€311,€312,€318,€327,€341,€352,€382,€411,€441,€470,€499,€529,€558,€587,€617,€646,€676,€705,€734,€764,€793,€822,€852,€881,€910,€940,€969,€999,"€1,028","€1,057","€1,087","€1,116","€1,145","€1,175","€1,204","€1,234","€1,263","€1,292","€1,322","€1,351","€1,380","€1,410","€1,439","€1,468","€1,498","€1,527","€1,557","€1,586","€1,615","€1,645","€1,674","€1,703","€1,733","€1,762"
NL,NO,37,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,38,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,39,Export,€294,€315,€321,€325,€325,€332,€342,€355,€368,€398,€429,€460,€490,€521,€552,€582,€613,€644,€674,€705,€736,€766,€797,€827,€858,€889,€919,€950,€981,"€1,011","€1,042","€1,073","€1,103","€1,134","€1,165","€1,195","€1,226","€1,257","€1,287","€1,318","€1,348","€1,379","€1,410","€1,440","€1,471","€1,502","€1,532","€1,563","€1,594","€1,624","€1,655","€1,686","€1,716","€1,747","€1,777","€1,808","€1,839"
NL,NO,40,Export,€340,€364,€371,€375,€375,€383,€394,€410,€424,€460,€495,€531,€566,€601,€637,€672,€707,€743,€778,€814,€849,€884,€920,€955,€990,"€1,026","€1,061","€1,097","€1,132","€1,167","€1,203","€1,238","€1,273","€1,309","€1,344","€1,379","€1,415","€1,450","€1,486","€1,521","€1,556","€1,592","€1,627","€1,662","€1,698","€1,733","€1,769","€1,804","€1,839","€1,875","€1,910","€1,945","€1,981","€2,016","€2,052","€2,087","€2,122"
NL,NO,41,Export,€340,€364,€371,€375,€375,€383,€394,€410,€424,€460,€495,€531,€566,€601,€637,€672,€707,€743,€778,€814,€849,€884,€920,€955,€990,"€1,026","€1,061","€1,097","€1,132","€1,167","€1,203","€1,238","€1,273","€1,309","€1,344","€1,379","€1,415","€1,450","€1,486","€1,521","€1,556","€1,592","€1,627","€1,662","€1,698","€1,733","€1,769","€1,804","€1,839","€1,875","€1,910","€1,945","€1,981","€2,016","€2,052","€2,087","€2,122"
NL,NO,42,Export,€340,€364,€371,€375,€375,€383,€394,€410,€424,€460,€495,€531,€566,€601,€637,€672,€707,€743,€778,€814,€849,€884,€920,€955,€990,"€1,026","€1,061","€1,097","€1,132","€1,167","€1,203","€1,238","€1,273","€1,309","€1,344","€1,379","€1,415","€1,450","€1,486","€1,521","€1,556","€1,592","€1,627","€1,662","€1,698","€1,733","€1,769","€1,804","€1,839","€1,875","€1,910","€1,945","€1,981","€2,016","€2,052","€2,087","€2,122"
