"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2
NL,DE,93,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,98,Export,€90.86,€100.96,€113.77,€171.03,€198.96,€244.34,€288.07,€321.80,€402.51,€485.81,€525.09,€564.37,€596.72,€629.06
NL,DE,1,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,6,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,8,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,10,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,12,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,15,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,19,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,23,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,24,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,25,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,78,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,80,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,92,Export,€95.44,€106.04,€120.33,€181.42,€212.31,€259.92,€308.51,€342.86,€428.52,€517.10,€559.06,€601.02,€635.84,€670.65
NL,DE,9,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,13,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,14,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,79,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,81,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,85,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,88,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,96,Export,€98.84,€109.82,€124.05,€186.15,€217.09,€266.26,€315.43,€351.81,€440.79,€532.73,€576.32,€619.90,€655.70,€691.49
NL,DE,2,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,84,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,87,Export,€106.20,€118.00,€132.28,€195.30,€227.36,€280.74,€334.26,€375.32,€475.02,€577.51,€626.13,€674.75,€713.46,€752.16
NL,DE,3,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,16,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,82,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,83,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,94,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,95,Export,€111.29,€123.65,€138.66,€202.73,€235.08,€288.39,€345.04,€386.29,€489.40,€595.86,€646.43,€696.99,€736.82,€776.65
NL,DE,17,Export,€122.11,€135.68,€154.47,€230.33,€269.29,€328.08,€392.29,€435.34,€548.12,€664.18,€718.85,€773.52,€820.17,€866.81
NL,DE,18,Export,€143.31,€159.23,€178.18,€247.46,€282.89,€336.09,€400.59,€440.13,€568.64,€699.70,€753.75,€807.80,€858.26,€908.71
