Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6
NL,BE,11,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,12,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,13,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,14,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,15,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,16,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,17,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,18,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,19,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,20,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,21,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,22,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,23,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,24,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,25,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,26,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,28,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,29,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,30,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,31,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,32,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,33,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,34,Export,70.31,86.72,101.95,138.28,154.69,175.78,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,35,Export,70.31,86.72,101.95,138.28,154.69,175.78,258.98,270.70,296.48,312.88,326.95,335.15,343.36,357.42,364.45,378.51,384.37
NL,BE,36,Export,70.31,86.72,101.95,138.28,154.69,175.78,258.98,270.70,296.48,312.88,326.95,335.15,343.36,357.42,364.45,378.51,384.37
NL,BE,37,Export,70.31,86.72,101.95,138.28,154.69,175.78,258.98,270.70,296.48,312.88,326.95,335.15,343.36,357.42,364.45,378.51,384.37
NL,BE,38,Export,70.31,86.72,101.95,138.28,154.69,175.78,258.98,270.70,296.48,312.88,326.95,335.15,343.36,357.42,364.45,378.51,384.37
NL,BE,39,Export,70.31,86.72,101.95,138.28,154.69,175.78,258.98,270.70,296.48,312.88,326.95,335.15,343.36,357.42,364.45,378.51,384.37
NL,BE,40,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,41,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,42,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,43,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,44,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,45,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,46,Export,71.49,89.06,105.47,141.80,157.03,180.47,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,47,Export,71.49,89.06,105.47,141.80,157.03,180.47,281.25,295.30,324.60,342.18,358.59,367.97,376.17,393.74,404.29,420.70,430.07
NL,BE,48,Export,71.49,89.06,105.47,141.80,157.03,180.47,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,49,Export,71.49,89.06,105.47,141.80,157.03,180.47,281.25,295.30,324.60,342.18,358.59,367.97,376.17,393.74,404.29,420.70,430.07
NL,BE,50,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,51,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,53,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,55,Export,71.49,89.06,105.47,141.80,157.03,180.47,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,56,Export,71.49,89.06,105.47,141.80,157.03,180.47,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,60,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,61,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,62,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,64,Export,71.49,89.06,105.47,141.80,157.03,180.47,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,65,Export,71.49,89.06,105.47,141.80,157.03,180.47,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,66,Export,73.83,91.41,107.80,145.32,162.89,191.01,281.25,295.30,324.60,342.18,358.59,367.97,376.17,393.74,404.29,420.70,430.07
NL,BE,67,Export,73.83,91.41,107.80,145.32,162.89,191.01,281.25,295.30,324.60,342.18,358.59,367.97,376.17,393.74,404.29,420.70,430.07
NL,BE,68,Export,73.83,91.41,107.80,145.32,162.89,191.01,281.25,295.30,324.60,342.18,358.59,367.97,376.17,393.74,404.29,420.70,430.07
NL,BE,69,Export,73.83,91.41,107.80,145.32,162.89,191.01,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,70,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,71,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,73,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,75,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,76,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,77,Export,71.49,89.06,105.47,141.80,157.03,180.47,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,78,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,79,Export,70.31,86.72,101.95,138.28,154.69,175.78,275.39,288.28,317.57,333.99,350.39,359.76,366.80,383.19,392.57,408.98,417.19
NL,BE,80,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,82,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,83,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,84,Export,71.49,89.06,105.47,141.80,157.03,180.47,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,85,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,86,Export,71.49,89.06,105.47,141.80,157.03,180.47,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,87,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,88,Export,70.31,86.72,101.95,138.28,154.69,175.78,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,89,Export,71.49,89.06,105.47,141.80,157.03,180.47,276.56,290.62,319.92,336.32,352.73,362.11,370.30,385.55,396.09,412.50,420.70
NL,BE,90,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,91,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,92,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,93,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,94,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,95,Export,67.97,85.55,99.61,128.91,146.48,168.75,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,96,Export,70.31,86.72,101.95,138.28,154.69,175.78,264.83,277.72,303.52,319.92,335.15,344.53,351.56,366.80,374.99,389.05,396.09
NL,BE,97,Export,70.31,86.72,101.95,138.28,154.69,175.78,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,98,Export,70.31,86.72,101.95,138.28,154.69,175.78,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BE,99,Export,70.31,86.72,101.95,138.28,154.69,175.78,257.81,269.53,294.14,310.54,324.60,332.81,341.01,355.08,362.11,374.99,380.86
NL,BG,10,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,11,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,12,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,13,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,14,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,15,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,16,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,17,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,18,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,19,Export,114.28,164.05,199.13,320.18,369.98,465.02,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,20,Export,121.06,174.23,211.58,339.43,390.35,486.51,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,21,Export,116.53,167.44,202.53,325.85,375.63,470.67,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,22,Export,116.53,167.44,202.53,325.85,375.63,470.67,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
NL,BG,23,Export,116.53,167.44,202.53,325.85,375.63,470.67,712.79,769.36,833.86,877.97,971.89,1022.80,1070.32,1167.63,1217.40,1313.58,1362.22
